-, -, -
-, -, -
-, -, -
-, -, -
19, -64.87130491063, 120
21, -64.871593, 68
71, -64.871813189238, 38
-, -, 119
-, -, 119
-, -, -
-, -, -
-, -, -
-, -, -
28, -64.870165, 4
-, -64.870302, -
27, -64.87026, 43
72, -64.869929943233, 82
73, -64.869682174175, 126
74, -64.86942032352, 164
-, -, 194
-, -, 194
-, -, -
-, -, -
-, -, -
-, -, -
42, -64.871091, 2107
75, -64.870924, 2126
76, -64.870926719158, 2169
77, -64.87084524706, 2200
78, -64.870641063898, 2237
79, -64.870448280125, 2272
80, -64.870266560465, 2320
81, -64.869854841381, 2359
82, -64.86933, -
83, -64.868745747953, 2515
84, -64.868458751589, 2555
85, -64.868141580373, 2620
86, -64.867845531553, 2655
87, -64.867585692554, 2694
88, -64.86728830263, 2733
89, -, 2768
90, -64.866674747318, 2836
91, -64.866359923034, 2877
92, -64.866000842303, 2924
-, -64.865847, -
93, -64.865772, -
94, -64.865975361317, 2975
95, -64.866239558905, 3016
96, -64.866504762321, 3057
97, -64.866652619093, 3080
98, -64.86644944176, 3153
99, -64.86631700769, 3225
-, -64.866294, -
100, -64.866376, 3249
101, -64.866705, 3284
102, -64.867033, 3345
101, -64.866705, 3382
100, -64.866376, 3417
-, -, -
103, -64.866244923323, 3454
104, -64.86617418006, 3497
105, -64.865953233093, 3524
106, -64.865662213414, 3563
107, -64.86546004191, 3589
108, -64.8652340658, 3619
-, -64.865159, -
109, -64.864967, -
110, -64.865111690014, 3661
111, -64.864869285374, 3708
112, -64.864633921533, 3750
113, -64.864395875483, 3820
114, -64.864157494157, 3865
115, -64.86395297572, 3903
-, -64.8639, -
116, -64.863715, -
117, -64.863775949925, 3929
118, -64.86346213147, 3970
-, -64.863387, -
119, -64.863477554172, -
120, -64.863293822854, 4006
-, -, 1755
-, -, 1911
-, -, -
-, -, -
-, -, -
-, -, -
110, -64.865111690014, 225
-, -64.865159, -
108, -64.8652340658, 195
107, -64.86546004191, 164
106, -64.865662213414, 139
-, -64.865712, -
121, -64.865674283355, 127
122, -, 82
123, -64.865436572581, 37
-, -, 224
-, -, -
-, -, -
-, -, -
-, -, -
-, -, -
51, -64.871058, 1054
52, -64.871051106601, 1085
124, -64.871049094945, -
125, -64.871045742183, 1154
126, -64.871042054146, 1199
127, -64.871037025004, 1243
128, -64.871033001691, 1312
129, -64.87102696672, 1357
130, -64.871025625616, 1400
131, -64.871023613959, 1444
132, -64.871016908437, 1487
133, -64.871016908437, 1552
134, -64.871012549847, 1597
135, -64.871011544018, 1642
136, -64.871005173772, 1686
137, -64.871003162115, 1730
138, -64.870996456593, 1774
139, -64.87099410966, 1820
140, -64.870987739413, 1864
141, -64.8709837161, 1909
142, -64.870978686958, 1952
143, -64.870974328368, 2029
144, -64.870971981436, 2072
145, -64.870971981436, 2117
146, -64.870966281741, 2161
147, -64.870963934808, 2205
148, -64.870959240943, 2276
149, -64.870957229286, 2322
150, -64.870950188487, 2367
151, -64.870951529592, 2412
152, -64.870945829898, 2456
153, -64.870941471308, 2501
154, -64.870937112718, 2546
155, -64.870933759957, 2590
156, -64.87093007192, 2635
157, -64.870924372226, 2680
158, -64.870923031121, 2714
